p,sigma_rad,wallTime_s,runID,ScintPhotonCount,CherenkovPhotonCount,PhotonHitSi,eps_col,Esc_CrystalAbsorbed,Esc_TopAir,Esc_SideAir,Esc_PTFE,Esc_Grease,Esc_World,Mean_IncidenceAngle_deg,Mean_HitCount
0.0,0.0,3.69,0,0,0,381,0.382915,597,0,0,10,1,0,22.2203,1
0.1,0.0,2.01,0,0,0,736,0.786325,135,0,0,49,7,1,21.4819,1
0.2,0.0,1.93,0,0,0,745,0.822296,89,0,0,54,5,3,21.0855,1
0.3,0.0,1.82,0,0,0,735,0.838084,76,0,0,53,6,1,21.7598,1
0.4,0.0,1.80,0,0,0,859,0.859,53,0,0,68,9,4,21.2495,1
0.5,0.0,1.77,0,0,0,798,0.843552,50,0,0,75,14,2,21.5211,0.998744
0.6,0.0,1.82,0,0,0,848,0.875129,41,0,0,60,12,0,20.9012,1
0.7,0.0,1.80,0,0,0,850,0.868233,37,0,0,68,11,3,21.5966,1
0.8,0.0,1.80,0,0,0,792,0.861806,33,0,0,69,12,4,22.1617,1
1.0,0.0,1.75,0,0,0,742,0.849943,20,0,14,73,7,9,22.0658,1
0.0,0.02,1.77,0,0,0,850,0.894737,80,0,0,5,8,0,19.7791,1
0.1,0.02,1.81,0,0,0,798,0.882743,66,0,0,23,10,0,19.7107,1
0.2,0.02,1.82,0,0,0,743,0.881376,55,0,0,30,5,3,19.3054,1
0.3,0.02,1.78,0,0,0,866,0.866,53,0,0,58,11,3,20.1625,1
0.4,0.02,1.84,0,0,0,702,0.859241,43,0,0,55,9,2,21.0755,1
0.5,0.02,1.78,0,0,0,819,0.867585,41,0,0,56,13,4,21.4402,1
0.6,0.02,1.78,0,0,0,859,0.872967,42,0,0,61,11,3,20.2962,1
0.7,0.02,1.75,0,0,0,730,0.876351,36,0,0,50,9,1,20.7259,1.00137
0.8,0.02,1.77,0,0,0,789,0.871823,34,0,0,58,13,2,20.4907,1.00127
1.0,0.02,1.75,0,0,0,769,0.85255,20,0,14,74,7,9,21.7854,1
0.0,0.05,1.78,0,0,0,783,0.90625,67,0,0,3,7,0,19.2289,1
0.1,0.05,1.74,0,0,0,733,0.887409,65,0,0,17,6,0,19.8795,1
0.2,0.05,1.78,0,0,0,876,0.88664,58,0,0,36,7,2,19.9566,0.998858
0.3,0.05,1.77,0,0,0,660,0.861619,47,0,0,48,6,1,20.9527,1
0.4,0.05,1.74,0,0,0,845,0.872934,45,0,0,64,7,0,20.803,1
0.5,0.05,1.73,0,0,0,813,0.86859,40,0,0,65,10,0,20.7383,1
0.6,0.05,1.78,0,0,0,809,0.87365,41,0,0,56,10,1,20.7321,0.998762
0.7,0.05,1.76,0,0,0,869,0.869,41,0,0,70,10,0,20.8398,0.997696
