p,sigma_rad,wallTime_s,runID,ScintPhotonCount,CherenkovPhotonCount,PhotonHitSi,eps_col,Esc_CrystalAbsorbed,Esc_TopAir,Esc_SideAir,Esc_PTFE,Esc_Grease,Esc_World,Mean_IncidenceAngle_deg,Mean_HitCount,theory_M1,theory_M2,delta_to_M1,delta_to_M2,within_M2_M1
0.0,0.0,3.69,0,0,0,381,0.382915,597,0,0,10,1,0,22.2203,1.0,0.0,0.2132358327924946,0.382915,0.1696791672075054,False
0.1,0.0,2.01,0,0,0,736,0.786325,135,0,0,49,7,1,21.4819,1.0,0.37573937434167826,0.22141566685784847,0.4105856256583218,0.5649093331421515,False
0.2,0.0,1.93,0,0,0,745,0.822296,89,0,0,54,5,3,21.0855,1.0,0.37115718684970656,0.23024810007418595,0.45113881315029347,0.5920478999258141,False
0.3,0.0,1.82,0,0,0,735,0.838084,76,0,0,53,6,1,21.7598,1.0,0.36668541351416767,0.23981447524055158,0.4713985864858324,0.5982695247594485,False
0.4,0.0,1.8,0,0,0,859,0.859,53,0,0,68,9,4,21.2495,1.0,0.36232011097233263,0.2502102397354798,0.49667988902766735,0.6087897602645203,False
0.5,0.0,1.77,0,0,0,798,0.843552,50,0,0,75,14,2,21.5211,0.998744,0.3580575214314817,0.2615481411562303,0.4854944785685183,0.5820038588437697,False
0.6,0.0,1.82,0,0,0,848,0.875129,41,0,0,60,12,0,20.9012,1.0,0.3538940618799526,0.2739623330301456,0.5212349381200474,0.6011666669698544,False
0.7,0.0,1.8,0,0,0,850,0.868233,37,0,0,68,11,3,21.5966,1.0,0.34982631404225195,0.2876137080364793,0.5184066859577481,0.5806192919635207,False
0.8,0.0,1.8,0,0,0,792,0.861806,33,0,0,69,12,4,22.1617,1.0,0.3458510150190446,0.3026969093552993,0.5159549849809554,0.5591090906447007,False
1.0,0.0,1.75,0,0,0,742,0.849943,20,0,14,73,7,9,22.0658,1.0,0.3381654369075103,0.3381654369075103,0.5117775630924897,0.5117775630924897,False
0.0,0.02,1.77,0,0,0,850,0.894737,80,0,0,5,8,0,19.7791,1.0,0.9999999999999463,0.2143168535462073,-0.10526299999994626,0.6804201464537927,True
