Theory comparison summary (grease):
CSV_OUT: /home/wsl2/myGeant4/SiPINLC/results/p_sigma_grid_10x10/p_sigma_grid_10x10_with_theory.csv

Top 10 (G4 above M1):
  p  sigma_rad  eps_col  theory_M1  theory_M2  delta_to_M1  delta_to_M2
0.6       0.00 0.875129   0.353894   0.273962     0.521235     0.601167
0.7       0.00 0.868233   0.349826   0.287614     0.518407     0.580619
0.8       0.00 0.861806   0.345851   0.302697     0.515955     0.559109
1.0       0.00 0.849943   0.338165   0.338165     0.511778     0.511778
0.8       0.02 0.871823   0.365439   0.308967     0.506384     0.562856
0.7       0.02 0.876351   0.372502   0.292201     0.503849     0.584150
1.0       0.02 0.852550   0.353401   0.353401     0.499149     0.499149
0.4       0.00 0.859000   0.362320   0.250210     0.496680     0.608790
0.6       0.02 0.872967   0.380651   0.277469     0.492316     0.595498
0.5       0.00 0.843552   0.358058   0.261548     0.485494     0.582004

Top 10 (G4 below M2):
  p  sigma_rad  eps_col  theory_M1  theory_M2  delta_to_M1  delta_to_M2
1.0       0.50 0.848676   0.798168   0.798168     0.050508     0.050508
1.0       0.40 0.852781   0.786734   0.786734     0.066047     0.066047
1.0       0.30 0.850627   0.763425   0.763425     0.087202     0.087202
1.0       0.20 0.850746   0.708035   0.708035     0.142711     0.142711
0.0       0.00 0.382915   0.000000   0.213236     0.382915     0.169679
1.0       0.15 0.850256   0.650887   0.650887     0.199369     0.199369
0.8       0.50 0.865180   0.832120   0.595825     0.033060     0.269355
0.8       0.40 0.870220   0.822210   0.594146     0.048010     0.276074
0.8       0.30 0.870000   0.801725   0.578928     0.068275     0.291072
1.0       0.10 0.849495   0.555078   0.555078     0.294417     0.294417
