p,sigma_rad,eps_col,absorbed,ptfe,grease,world
0.0,0.01,0.893568,867,41,92,5
0.2,0.01,0.89783,542,314,88,2
0.4,0.01,0.899699,393,436,97,1
0.6,0.01,0.909082,283,455,107,2
0.8,0.01,0.917587,201,444,108,3
1.0,0.01,0.908135,102,483,115,5
0.0,0.05,0.8956,851,36,88,5
0.2,0.05,0.899379,525,318,84,3
0.4,0.05,0.902871,372,417,103,5
0.6,0.05,0.9097,279,459,99,2
0.8,0.05,0.915583,199,464,111,3
1.0,0.05,0.908783,99,477,113,5
0.0,0.1,0.90174,796,37,87,2
0.2,0.1,0.898444,507,324,90,1
0.4,0.1,0.904175,358,424,101,1
0.6,0.1,0.90879,273,465,109,1
0.8,0.1,0.916189,201,467,104,3
1.0,0.1,0.907749,101,479,113,5
0.0,0.2,0.906675,741,27,84,2
0.2,0.2,0.898659,491,320,124,3
0.4,0.2,0.903896,350,429,111,2
0.6,0.2,0.90998,254,459,104,2
0.8,0.2,0.916224,186,474,101,3
1.0,0.2,0.907655,102,481,114,5
0.0,0.3,0.911234,713,28,74,4
0.2,0.3,0.90721,485,266,101,4
0.4,0.3,0.911705,318,386,102,7
0.6,0.3,0.91068,256,485,88,4
0.8,0.3,0.916928,185,482,94,3
1.0,0.3,0.908055,101,477,114,5
0.0,0.5,0.920192,604,14,106,2
0.2,0.5,0.912295,438,255,112,3
0.4,0.5,0.908274,316,419,103,5
0.6,0.5,0.910484,238,477,103,7
0.8,0.5,0.919984,182,451,101,5
1.0,0.5,0.907844,101,482,115,5
