medium,n2,p,sigma_alpha,eps_col_M1,eps_col_M2
air,1.0,0.0,0.0,0.0,0.08789926953175987
air,1.0,0.0,0.1,0.9999999999999991,0.10254697920683355
air,1.0,0.0,0.2,0.9999999999999991,0.12725364857924396
air,1.0,0.0,0.3,1.0,0.141860812367556
air,1.0,0.0,0.4,1.0,0.14576069693706642
air,1.0,0.0,0.469,1.0,0.144916674568971
air,1.0,0.0,0.6,1.0,0.14051706947654807
air,1.0,0.0,1.0,0.9999999999999996,0.13090549680990482
air,1.0,0.2,0.0,0.1529970135802636,0.09491200208968274
air,1.0,0.2,0.1,0.6523813046254165,0.11520689953590806
air,1.0,0.2,0.2,0.8258689727795713,0.14869049080670427
air,1.0,0.2,0.3,0.8720071306386749,0.1684300547895895
air,1.0,0.2,0.4,0.8895311020687902,0.17439877233688755
air,1.0,0.2,0.469,0.8957713933156471,0.17402906884273864
air,1.0,0.2,0.6,0.9021342310146949,0.16963237449579188
air,1.0,0.2,1.0,0.9074398980495506,0.15915371274870002
air,1.0,0.4,0.0,0.1493542275426383,0.10314071989728596
air,1.0,0.4,0.1,0.4968373111200357,0.13246665340353186
air,1.0,0.4,0.2,0.703935060325041,0.17918364179766905
air,1.0,0.4,0.3,0.7725391783746128,0.2062761808852201
air,1.0,0.4,0.4,0.8004882631714201,0.21524037360535697
air,1.0,0.4,0.469,0.8107126657763866,0.2156396104450129
air,1.0,0.4,0.6,0.8212899144993752,0.2114607303462348
air,1.0,0.4,1.0,0.8302296187264148,0.20009482628511902
air,1.0,0.6,0.0,0.14588087341373962,0.1129317180757348
air,1.0,0.6,0.1,0.4081145592922091,0.15812980502147445
air,1.0,0.6,0.2,0.6137693089040235,0.22614577718773182
air,1.0,0.6,0.3,0.6930277882778876,0.2642925656744838
air,1.0,0.6,0.4,0.7271963898134743,0.27792526367945936
air,1.0,0.6,0.469,0.7399853875570291,0.2797488995985568
air,1.0,0.6,0.6,0.7533837082520769,0.27648380139409906
air,1.0,0.6,1.0,0.7648433632181334,0.2647384947572424
air,1.0,0.8,0.0,0.14256539901797283,0.12477657658853215
air,1.0,0.8,0.1,0.3504473132403947,0.2025954158766614
air,1.0,0.8,0.2,0.5443739709029283,0.3081967457352416
air,1.0,0.8,0.3,0.6280236335265775,0.363972078921942
air,1.0,0.8,0.4,0.6658218634942795,0.38580007094426183
air,1.0,0.8,0.469,0.6802529824812392,0.39085524904635766
air,1.0,0.8,0.6,0.6955416396068227,0.3910507598350128
air,1.0,0.8,1.0,0.7087583535010369,0.38200558848943955
air,1.0,1.0,0.0,0.13939727903979568,0.13939727903979568
air,1.0,1.0,0.1,0.30974833074635033,0.30974833074635033
air,1.0,1.0,0.2,0.4893031074284867,0.4893031074284867
air,1.0,1.0,0.3,0.5738955857258242,0.5738955857258242
air,1.0,1.0,0.4,0.6136816770010933,0.6136816770010933
air,1.0,1.0,0.469,0.6291399708773528,0.6291399708773528
air,1.0,1.0,0.6,0.6456822451302766,0.6456822451302766
air,1.0,1.0,1.0,0.6601218400475748,0.6601218400475748
grease,1.46,0.0,0.0,0.0,0.2132358327924946
grease,1.46,0.0,0.1,0.9999999999999969,0.23570428599893403
grease,1.46,0.0,0.2,0.9999999999999998,0.26990825376675764
grease,1.46,0.0,0.3,1.0,0.2863885350092239
grease,1.46,0.0,0.4,0.9999999999999993,0.2874549231205943
grease,1.46,0.0,0.469,0.9999999999999998,0.2836618960642764
grease,1.46,0.0,0.6,1.0,0.2736715458826168
grease,1.46,0.0,1.0,1.0,0.25521837544042436
grease,1.46,0.2,0.0,0.37115718684970656,0.23024810007418595
grease,1.46,0.2,0.1,0.8382218664790997,0.26130598203768
grease,1.46,0.2,0.2,0.9230312983662996,0.3069360075896233
grease,1.46,0.2,0.3,0.9421833202166598,0.32908162780161454
grease,1.46,0.2,0.4,0.9491432334445751,0.3322882133333893
grease,1.46,0.2,0.469,0.9515818533261194,0.3290180534809307
grease,1.46,0.2,0.6,0.9540472731821739,0.3191393268974847
grease,1.46,0.2,1.0,0.9560869833864638,0.29996564064418646
grease,1.46,0.4,0.0,0.36232011097233263,0.2502102397354798
grease,1.46,0.4,0.1,0.732221428604168,0.29466953702567794
grease,1.46,0.4,0.2,0.8574211175175639,0.3562845873478219
grease,1.46,0.4,0.3,0.8904383002567255,0.385651119898332
grease,1.46,0.4,0.4,0.9029482839065448,0.39167203508295223
grease,1.46,0.4,0.469,0.907399056784127,0.3892421735675703
grease,1.46,0.4,0.6,0.9119350537472589,0.37990094098846244
grease,1.46,0.4,1.0,0.9157157235993743,0.360468005637541
grease,1.46,0.6,0.0,0.3538940618799526,0.2739623330301456
grease,1.46,0.6,0.1,0.656747288078969,0.34109045231051355
grease,1.46,0.6,0.2,0.8008117977546292,0.4255368277853403
grease,1.46,0.6,0.3,0.8438629545617954,0.4639307229611256
grease,1.46,0.6,0.4,0.8608064094245282,0.4737637147777122
grease,1.46,0.6,0.469,0.8669218073841727,0.47280943284284727
grease,1.46,0.6,0.6,0.8732023120187511,0.46504841237793726
grease,1.46,0.6,1.0,0.8784744336165671,0.44679747887099525
grease,1.46,0.8,0.0,0.3458510150190446,0.3026969093552993
grease,1.46,0.8,0.1,0.5998343773173245,0.41339013118680057
grease,1.46,0.8,0.2,0.7514568849799543,0.5302229155765981
grease,1.46,0.8,0.3,0.801725277420647,0.578928032885574
grease,1.46,0.8,0.4,0.8222103402868047,0.5941455491242731
grease,1.46,0.8,0.469,0.8297050883399097,0.5960963251537732
grease,1.46,0.8,0.6,0.8374589620933748,0.5926407582133472
grease,1.46,0.8,1.0,0.8440127806053791,0.5799357549070947
grease,1.46,1.0,0.0,0.3381654369075103,0.3381654369075103
grease,1.46,1.0,0.1,0.5550778740476068,0.5550778740476068
grease,1.46,1.0,0.2,0.708035056522468,0.708035056522468
grease,1.46,1.0,0.3,0.7634250152923858,0.7634250152923858
grease,1.46,1.0,0.4,0.7867339842783101,0.7867339842783101
grease,1.46,1.0,0.469,0.7953723615641766,0.7953723615641766
grease,1.46,1.0,0.6,0.8043727213161626,0.8043727213161626
grease,1.46,1.0,1.0,0.8120308341482498,0.8120308341482498
