# SiPIN P_det(wavelength_nm, theta_deg)
# Realistic model: wavelength-dependent QE with Fresnel losses at oblique angles
# Format: wavelength_nm, theta_deg, p_det

# theta = 0 deg (normal incidence)
400, 0, 0.65
450, 0, 0.78
500, 0, 0.85
530, 0, 0.82
550, 0, 0.80
600, 0, 0.70
650, 0, 0.55
700, 0, 0.35

# theta = 15 deg
400, 15, 0.64
450, 15, 0.77
500, 15, 0.84
530, 15, 0.81
550, 15, 0.79
600, 15, 0.69
650, 15, 0.54
700, 15, 0.34

# theta = 30 deg
400, 30, 0.60
450, 30, 0.72
500, 30, 0.79
530, 30, 0.76
550, 30, 0.74
600, 30, 0.64
650, 30, 0.50
700, 30, 0.31

# theta = 45 deg
400, 45, 0.52
450, 45, 0.63
500, 45, 0.69
530, 45, 0.66
550, 45, 0.64
600, 45, 0.55
650, 45, 0.43
700, 45, 0.27

# theta = 60 deg
400, 60, 0.38
450, 60, 0.46
500, 60, 0.50
530, 60, 0.48
550, 60, 0.46
600, 60, 0.40
650, 60, 0.31
700, 60, 0.19

# theta = 75 deg
400, 75, 0.18
450, 75, 0.22
500, 75, 0.24
530, 75, 0.23
550, 75, 0.22
600, 75, 0.19
650, 75, 0.15
700, 75, 0.09

# theta = 89 deg (grazing incidence)
400, 89, 0.02
450, 89, 0.02
500, 89, 0.02
530, 89, 0.02
550, 89, 0.02
600, 89, 0.02
650, 89, 0.01
700, 89, 0.01

